"Місцевий час в Києві / Жулянах (аеропорт)";"N";"Cl";"Nh";"H";"Cm";"Ch";"RRR"
"31.08.2022 21:00";"хмар немає";"";"";"";"";"";""
"31.08.2022 18:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2022 15:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2022 12:00";"50%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2022 09:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";""
"31.08.2022 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2022 03:00";"хмар немає";"";"";"";"";"";""
"31.08.2022 00:00";"хмар немає";"";"";"";"";"";""
"30.08.2022 21:00";"хмар немає";"";"";"";"";"";""
"30.08.2022 18:00";"хмар немає";"";"";"";"";"";""
"30.08.2022 15:00";"20–30%.";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"30.08.2022 12:00";"хмар немає";"";"";"";"";"";""
"30.08.2022 09:00";"40%.";"Шарувато-купчасті, що утворилися не з купчастих.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"30.08.2022 06:00";"хмар немає";"";"";"";"";"";""
"30.08.2022 03:00";"60%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"30.08.2022 00:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"29.08.2022 21:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"29.08.2022 18:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"29.08.2022 15:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
