"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"31.08.2022 21:00";"19.7";"746.9";"761.5";"0.4";"49";"Вітер, що дме з північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"25";"";"";"";"";"";"20";"";"";"";"";"";"";""
"31.08.2022 18:00";"22.3";"746.5";"761";"0";"49";"Вітер, що дме з північного заходу";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2022 15:00";"22.9";"746.5";"761";"-0.3";"53";"Вітер, що дме з північного заходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2022 12:00";"22.7";"746.8";"761.3";"-0.3";"57";"Вітер, що дме з північного заходу";"2";"";"";"50%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2022 09:00";"18.1";"747.1";"761.8";"0.2";"72";"Вітер, що дме із заходу";"1";"";"";"20–30%.";" ";"";"";"16.1";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"31.08.2022 06:00";"16.5";"746.9";"761.7";"-0.2";"75";"Вітер, що дме із заходу-північного заходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"31.08.2022 03:00";"18.3";"747.1";"761.8";"-0.3";"66";"Вітер, що дме із заходу-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"31.08.2022 00:00";"19.8";"747.4";"762";"0.3";"57";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2022 21:00";"22.2";"747.1";"761.6";"0.7";"48";"Вітер, що дме із заходу";"1";"";"";"хмар немає";" ";"";"";"";"27.6";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2022 18:00";"26.6";"746.4";"760.6";"-0.9";"37";"Вітер, що дме з північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2022 15:00";"26.8";"747.3";"761.5";"-0.3";"41";"Вітер, що дме із заходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"30.08.2022 12:00";"24.8";"747.6";"762";"0.2";"49";"Вітер, що дме із заходу-північного заходу";"3";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2022 09:00";"20.2";"747.4";"762";"0.5";"81";"Вітер, що дме із заходу";"2";"";"";"40%.";" ";"";"";"18.4";"";"Шарувато-купчасті, що утворилися не з купчастих.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"30.08.2022 06:00";"19.5";"746.9";"761.5";"0.3";"85";"Вітер, що дме із заходу-північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"30.08.2022 03:00";"21.4";"746.6";"761.1";"0.5";"76";"Вітер, що дме з північного заходу";"1";"";"";"60%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"30.08.2022 00:00";"23.8";"746.1";"760.5";"0.7";"63";"Вітер, що дме із заходу";"2";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"29.08.2022 21:00";"26.5";"745.4";"759.7";"0.2";"47";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"31.5";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"29.08.2022 18:00";"28.7";"745.2";"759.4";"0";"40";"Вітер, що дме з північного заходу";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
